initial_state,full_control_sequence
"[0.21407777874611783, -0.23451219673375662, -0.023538829195205585, 0.10866850568952241]","[-0.13281767  0.01667977  0.09112192  0.12715101  0.14202009  0.14468314
  0.1402147   0.1316832   0.12101635  0.10944384]"
"[-0.23417377601072986, 0.07006521135848387, -0.07953872037973526, -0.12914189592401934]","[ 1.00000001  1.00000001  1.          0.37458924 -0.04136519 -0.26685131
 -0.3809901  -0.42779413 -0.43361602 -0.41500498]"
"[-0.08330462118021598, -0.17235566424737814, 0.10427253929262058, -0.06618173834910776]","[-1.00000001 -1.00000001 -0.96600228 -0.14905425  0.28464542  0.50502846
  0.60063271  0.62178688  0.59898516  0.55141608]"
"[0.07920371387896208, -0.14331316451543696, 0.06707799184457965, 0.0007405643209832391]","[-1.00000001 -0.70991036 -0.18398137  0.10278465  0.25531109  0.32843164
  0.35344338  0.34940762  0.32839784  0.29819786]"
"[-0.10722803067289138, -0.3190428417153033, -0.0010710885501399592, -0.036158483693174204]","[-0.3415635   0.05809105  0.25871961  0.35161342  0.38319892  0.3792804
  0.35519778  0.32044737  0.28100409  0.24061086]"
"[-0.1932029527789937, 0.3917432094469254, -0.006057027090159248, 0.09028514101840945]","[ 0.22059831 -0.05217665 -0.19399405 -0.26313191 -0.28987926 -0.29142552
 -0.27817931 -0.25669198 -0.23115478 -0.20424475]"
"[0.1649557804192629, 0.0008305122207867277, 0.09825695887176696, -0.21818084547882283]","[-0.81983736 -0.43028996 -0.19944946 -0.05956939  0.02474223  0.0737848
  0.10006012  0.11163021  0.11382837  0.11022257]"
"[-0.2714225606651286, -0.3182992546133575, -0.08731743650429827, -0.23432167669259274]","[ 1.00000001  1.00000001  1.00000001  1.00000001  0.76458624  0.28833056
  0.01659104 -0.13793853 -0.22150071 -0.26085658]"
"[0.011479244660368704, -0.16013157161819125, -0.031673153720794656, -0.290187541683911]","[ 1.00000001  0.76657463  0.33323239  0.09206188 -0.0435854  -0.11733824
 -0.15335596 -0.16607332 -0.16455985 -0.15467093]"
"[-0.19220019429641588, -0.1604913450480447, 0.042091063198581316, 0.01883017927569902]","[-1.00000001 -0.34396207  0.06721982  0.28068241  0.38172145  0.41652771
  0.41213175  0.38519247  0.34625631  0.30204356]"
"[-0.29733435347953646, -0.33492034855484165, -0.06443379217720621, -0.292230708280084]","[ 1.00000001  1.00000001  0.89290951  0.51358959  0.28364133  0.13848997
  0.04531486 -0.01433474 -0.05171839 -0.07410858]"
"[0.13480326174684587, 0.11763581830911474, -0.08466724635691378, 0.26047582175972034]","[ 0.79292633  0.26393855 -0.02684948 -0.18363252 -0.26100744 -0.29019674
 -0.29023629 -0.27318649 -0.24682015 -0.21615022]"
"[-0.219858710788555, 0.21363615919882395, -0.06668677318415984, -0.1692470285947337]","[ 1.00000001  1.00000001  1.          0.33645258 -0.1521749  -0.4092504
 -0.53237444 -0.57544697 -0.57052285 -0.5376037 ]"
"[0.24653681693527346, -0.3215967244741117, 0.07481865019023691, 0.1939804129134694]","[-1.00000001 -1.00000001 -1.00000001 -1.00000001 -0.54525169  0.21683016
  0.60991782  0.79460346  0.85692246  0.84683228]"
"[0.13473440779670132, 0.07351232851585232, 0.07266327839294505, -0.09427244700418336]","[-0.7071156  -0.3997096  -0.2169014  -0.10395712 -0.03324819  0.01063114
  0.03699848  0.05181393  0.05902029  0.06127239]"
"[0.28159590867568823, 0.17534191286098455, -0.08439399693000077, 0.18422470145021835]","[ 1.00000001  0.53741885 -0.00605453 -0.29143954 -0.43043672 -0.48314894
 -0.48458863 -0.45628313 -0.411856   -0.36000044]"
"[-0.19521228015286074, -0.3821369493510399, -0.10482921274231154, 0.1591557800594865]","[0.59719009 0.54840634 0.48671054 0.42248263 0.3604783  0.30290675
 0.25072472 0.2042261  0.16333717 0.12777853]"
"[0.08230064460345049, -0.005516695334590593, -0.0764611781753343, 0.2572775091766008]","[ 0.4853701   0.21447393  0.0573939  -0.03273633 -0.08174613 -0.10503211
 -0.11227143 -0.10973003 -0.10151495 -0.09031662]"
"[-0.2596349800868615, 0.3133521836270686, 0.002702179989119133, -0.2026874829307351]","[ 0.82243299  0.24424381 -0.0601137  -0.2205673  -0.29972831 -0.33085415
 -0.3331631  -0.31844368 -0.29417848 -0.26518021]"
"[-0.08525691697186336, -0.38716588675343405, 0.03037706823760801, 0.08493562513967251]","[-1.00000001 -0.62448665  0.0481906   0.39577158  0.56301514  0.62552288
  0.62630533  0.59139187  0.53710671  0.4738235 ]"
"[-0.23249550948880043, -0.0651040948262353, 0.0003878577049041543, -0.18259685803043313]","[0.33000307 0.23355384 0.17515278 0.13402447 0.10219055 0.07637566
 0.05505455 0.03737353 0.02275528 0.01075242]"
"[0.16980972771145797, 0.18358262762894384, 0.06295489770730246, 0.19002361445993216]","[-1.00000001 -0.95320613 -0.48927933 -0.22180748 -0.0627308   0.03194577
  0.08648478  0.11540209  0.12788426  0.12994055]"
"[9.333070396622123e-05, -0.3236815321213172, -0.05124754719177669, -0.25525836047763256]","[ 1.00000001  0.85146321  0.46886442  0.24666692  0.11270776  0.03112592
 -0.0177609  -0.04568801 -0.06006848 -0.06574934]"
"[0.07236217150785362, 0.443071594945864, -0.0726746860997045, 0.16995886776852492]","[ 1.00000001  0.58295003 -0.07603722 -0.4192722  -0.58466596 -0.64569175
 -0.64483101 -0.60808311 -0.55186636 -0.48665431]"
