initial_state,first_control
[ 0.08234815  0.08232701 -0.02569751  0.11450465],0.21682789907905328
[ 0.09058085  0.11337903 -0.01424705  0.12919876],0.03456740421549865
[ 0.10191875  0.11379165 -0.00132717  0.09532921],-0.06301077145419949
[0.11329791 0.09991053 0.00820575 0.05736861],-0.11261456168884648
[0.12328897 0.07981223 0.01394261 0.02721528],-0.13384839020052908
[0.13127019 0.05775287 0.01666414 0.0062122 ],-0.13807714663579576
[ 0.13704548  0.03605367  0.01728536 -0.00722331],-0.13227620534699244
[ 0.14065084  0.01597005  0.01656303 -0.0150973 ],-0.12086525573204092
[ 0.14224785 -0.00186661  0.0150533  -0.01912245],-0.10667602958111988
"[-0.010655025698193987, -0.2816912357016884, 0.06342195320441336, -0.08894120608164369]",-1.000000005967135
[-0.03882415 -0.44141177  0.05452783 -0.33296192],-0.4566730452338074
[-0.08296533 -0.50182594  0.02123164 -0.35045257],0.024761741333135488
[-0.13314792 -0.48251581 -0.01381362 -0.2501583 ],0.27963428528232515
[-0.1813995  -0.42658889 -0.03882945 -0.1441557 ],0.4054753757026851
[-0.22405839 -0.35548866 -0.05324502 -0.06149478],0.4548588318379461
[-0.25960726 -0.28055782 -0.05939449 -0.00456983],0.4584835494216687
[-0.28766304 -0.20797551 -0.05985148  0.03141826],0.43528054776567343
[-0.30846059 -0.14105465 -0.05670965  0.05213081],0.3972749494588111
[-0.32256605 -0.08142136 -0.05149657  0.06231795],0.3521772993300947
"[0.22382493710505608, -0.08745864157576971, -0.06374744408694379, -0.037204102539410366]",1.0000000070709987
[ 0.21507907  0.07889342 -0.06746785  0.22259799],0.627020735330184
[ 0.22296841  0.17341577 -0.04520806  0.2936737 ],0.18449654371805002
[ 0.24030999  0.19171696 -0.01584069  0.22868765],-0.05570680780932638
[0.25948169 0.173866   0.00702808 0.14524579],-0.1822651270490853
[0.27686829 0.13944444 0.02155266 0.07639212],-0.24176795685515876
